Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Lat	Long	Nynorsk	Bokmål	Engelsk
101	Halden	25	Halden	Østfold	59.1234	11.3878	http://www.yr.no/stad/Noreg/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Halden/forecast.xml
101	Brekke Sluse	40	Halden	Østfold	59.1464	11.5563	http://www.yr.no/stad/Noreg/Østfold/Halden/Brekke_Sluse/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Brekke_Sluse/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Brekke_Sluse/forecast.xml
101	Prestebakke	40	Halden	Østfold	58.9908	11.5403	http://www.yr.no/stad/Noreg/Østfold/Halden/Prestebakke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Prestebakke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Prestebakke/forecast.xml
101	Berg	50	Halden	Østfold	59.1365	11.3294	http://www.yr.no/stad/Noreg/Østfold/Halden/Berg/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Berg/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Berg/forecast.xml
101	Sponvika	50	Halden	Østfold	59.0912	11.2301	http://www.yr.no/stad/Noreg/Østfold/Halden/Sponvika/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Sponvika/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Sponvika/forecast.xml
104	Moss	25	Moss	Østfold	59.4326	10.6580	http://www.yr.no/stad/Noreg/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Moss/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Moss/forecast.xml
104	Gullholmen	40	Moss	Østfold	59.4337	10.5772	http://www.yr.no/stad/Noreg/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Gullholmen/forecast.xml
104	Bevøya	60	Moss	Østfold	59.5108	10.6413	http://www.yr.no/stad/Noreg/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Bevøya/forecast.xml
104	Dillingøya	60	Moss	Østfold	59.4304	10.7608	http://www.yr.no/stad/Noreg/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Dillingøya/forecast.xml
104	Kambo	60	Moss	Østfold	59.4711	10.6959	http://www.yr.no/stad/Noreg/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Kambo/forecast.xml
